,Department,zip_code,Variance,Distance,Cosine,Nouns_nb,Variance_std,Distance_std,Cosine_std
737,91,91190,215.54620009409112,703.874565627715,116.330304190109,17,12.67918824082889,5.175548276674375,0.8553698837508015
738,69,69290,279.709544501139,1188.3903143208474,194.24635046880846,22,12.714070204597228,5.144546815241764,0.8408932920727639
739,75,75011,399.4833747420521,2609.0933846630137,437.0693318789799,33,12.105556810365215,4.94146474367995,0.827782825528371
740,91,91430,436.9652987712153,2745.167998275934,440.4674265189457,33,13.241372690036828,5.1991818149165425,0.8342186108313365
741,59,59140,208.62305753536293,690.4313274328169,113.19599173909435,17,12.271944560903702,5.076700937006007,0.8323234686698114
742,59,59600,46.551564760442375,48.05196669327149,8.699540721862565,5,9.310312952088475,4.805196669327149,0.8699540721862565
743,75,75016,247.31225545208443,822.3262708106715,128.30218403785005,18,13.739569747338024,5.37468150856648,0.8385763662604578
744,63,63170,231.86637356709252,865.1817474515848,145.5136494035186,19,12.20349334563645,5.059542382757805,0.8509570140556644
745,6,6000,243.97012626159903,745.1359494248813,117.7488052465111,17,14.35118389774112,5.478940804594716,0.8658000385772875
746,56,56890,210.296696503029,695.4864968512929,116.26076153416936,17,12.370393911942884,5.113871300377154,0.8548585406924217
747,92,92700,505.75276014241206,3364.743864738174,539.9198992635534,36,14.048687781733669,5.340863277362181,0.8570157131167514
748,57,57680,226.35691112411862,717.4703551654525,115.85220001340184,17,13.315112419065802,5.2755173173930325,0.8518544118632488
749,11,11100,158.4555144240259,308.7054512289616,48.408293841306836,11,14.405046765820536,5.61282638598112,0.8801507971146697
750,56,56100,273.95862827594334,1326.9948670701192,233.44544203148973,24,11.414942844830973,4.807952416920722,0.845816818954673
751,67,67410,132.91718944482577,322.62880689302017,56.6153523483096,12,11.07643245373548,4.888315255954851,0.8578083689137818
752,33,33380,479.33370004039307,3270.023603882557,530.0853240340366,36,13.31482500112203,5.19051365695644,0.8414052762445026
753,5,5000,309.76855218689616,1422.9284319157464,227.25653419229994,24,12.90702300778734,5.155537796796183,0.8233932398271737
754,35,35220,88.20029976244564,139.40947790333723,22.70035801863984,8,11.025037470305705,4.978909925119187,0.81072707209428
755,63,63110,246.87807431654846,889.263719465727,146.85967159857964,19,12.99358285876571,5.200372628454544,0.8588284888805827
756,92,92150,249.30056223169663,967.8244416986673,158.26801385820482,20,12.465028111584832,5.093812851045618,0.8329895466221306
757,68,68200,314.5093540329924,1338.7935515470106,218.78116523001086,23,13.674319740564886,5.291674116786603,0.8647476886561694
758,59,59148,111.88568643577183,258.4668299803848,46.226116595840026,11,10.171426039615621,4.699396908734268,0.8404748471970914
759,13,13210,6469.069397799279,615901.7869056951,105086.7729283688,494,13.095282181779917,5.057869171688622,0.8629868599943238
